#SampleID	shannon_entropy
11369.p55.1B	3.9692073644439994
11369.p57.2B	1.6731226847827791
11369.p53.1A	2.8057942529679822
11369.p46.2A	2.6166944928940468
11369.p48.2A	4.3410533971936935
11369.p51.1B	3.4280656320351564
11369.p60.1A	4.720736727914665
11369.p55.2A	4.604554314270774
11369.p43.3B	4.205515148826465
11369.p57.3A	2.0644963749097025
11369.p53.1B	2.923772755989902
11369.p51.2A	3.65284814180451
11369.p48.2B	4.180770527785581
11369.p55.2B	4.524213799014823
11369.p60.1B	4.815054890417676
11369.p57.3B	2.074139709897345
11369.p53.2A	2.811349518338814
11369.p48.3A	4.186283272145933
11369.p60.2A	5.08422589645448
11369.p55.3A	5.0533187948412115
11369.p48.3B	4.051310624109644
11369.p58.1A	1.5887801577157286
11369.p53.2B	2.4626437237411456
11369.p55.3B	5.165513725296008
11369.p60.2B	4.643118996433998
11369.p58.1B	1.518319963830661
11369.p53.3A	3.962926122833736
11369.p56.1A	3.7995818065443347
11369.p60.3A	4.829793394566098
11369.p58.2A	1.4010291558559402
11369.p53.3B	3.8725883872106235
11369.p56.1B	3.7132564688178347
11369.p60.3B	4.935144718117281
11369.p58.2B	1.3366163037967478
11369.p61.1A	4.154788495921527
11369.p56.2A	0.6551247812050176
11369.p58.3A	1.126313277266508
11369.p61.1B	4.281121351949228
11369.p58.3B	1.330065913302381
11369.p61.2A	3.336185163710986
