ID,comp1,GroupContrib,importance,mz,RT,Corr_ID,Compound_Name,Compound_Name_2,cytoscape_annotation
1537,1.0763274721254967,Low,-0.046885561,285.2895794492585,4.6729445,NA,Massbank:LU071402 N-[3-(Dimethylamino)propyl]dodecanamide,N-[3-(Dimethylamino)propyl]dodecanamide,"N-[3-(Dimethylamino)propyl]dodecanamide (m/z: 285.29, RT: 4.67)"
281,1.0714728061695615,Low,-0.046674089,745.3824659604468,2.8424795,NA,NA,NA,"(m/z: 745.38, RT: 2.84)"
1697,1.0704601317948037,Low,-0.046629976,315.30046186344424,5.0681605,NA,NA,NA,"(m/z: 315.3, RT: 5.07)"
2753,1.058666557323649,High,0.04611624,598.3973175029073,8.234419,NA,NA,NA,"(m/z: 598.4, RT: 8.23)"
1407,1.0583461896418762,Low,-0.046102284,202.21625852874763,4.3176394,NA,NA,NA,"(m/z: 202.22, RT: 4.32)"
2765,1.0428886382261573,High,0.045428943,554.3711347556114,8.276271,NA,NA,NA,"(m/z: 554.37, RT: 8.28)"
2468,1.0416951921749122,High,0.0453769552853468,611.4121929000684,7.284264,NA,NA,NA,"(m/z: 611.41, RT: 7.28)"
1782,1.0383026574681602,High,0.04522917415239286,597.4807494,5.234289,NA,NA,NA,"(m/z: 597.48, RT: 5.23)"
2404,1.0228783754488868,Low,-0.044557282,278.2115409635134,7.168102,NA,Massbank:LU101703 2-Ethylhexyl 4-(dimethylamino)benzoate,2-Ethylhexyl 4-(dimethylamino)benzoate,"2-Ethylhexyl 4-(dimethylamino)benzoate (m/z: 278.21, RT: 7.17)"
2770,1.0209804783927012,High,0.044474608,510.34463451680085,8.315655,NA,NA,NA,"(m/z: 510.34, RT: 8.32)"
2481,1.016798435424505,High,0.044292436,567.3859344330378,7.303179,NA,NA,NA,"(m/z: 567.39, RT: 7.3)"
2702,1.014329339,High,0.04418488,599.4488567727026,8.030022,NA,NA,NA,"(m/z: 599.45, RT: 8.03)"
2619,1.0141793409156332,Low,-0.044178346,728.5510674098323,7.725216,NA,NA,NA,"(m/z: 728.55, RT: 7.73)"
2187,1.0116219762247427,High,0.04406694542285692,424.2718205214715,6.5385203,NA,NA,NA,"(m/z: 424.27, RT: 6.54)"
1656,1.010639673675964,High,0.044024156,346.2952450247372,4.943995,NA,NA,NA,"(m/z: 346.3, RT: 4.94)"
2391,1.0096140170045635,Low,-0.043979477,350.25802336603266,7.09976,NA,NA,NA,"(m/z: 350.26, RT: 7.1)"
484,1.009390661786867,High,0.043969748,487.26186417852966,3.2421112,NA,NA,NA,"(m/z: 487.26, RT: 3.24)"
2376,1.0042196417366305,Low,-0.043744495,510.4001875905709,6.9821973,NA,NA,NA,"(m/z: 510.4, RT: 6.98)"
273,1.0020564538052117,Low,-0.043650265,638.3956731957273,2.837783,NA,NA,NA,"(m/z: 638.4, RT: 2.84)"
2139,1.0002282403164993,Low,-0.043570626,286.2738469,6.429565,NA,NA,NA,"(m/z: 286.27, RT: 6.43)"
